"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"14401",0,801.5,800,1.5,10,36.8,0,0,910,1096,69,69,36,28.2,"High"
"14402",0,801,800,1.5,10,36.95,0,0,910,1095,69,69,36,28.2,"High"
"14403",0,800.5,800,1.5,10,36.95,0,0,909,1095,69,69,36,28.2,"High"
"14404",0,800,800,1,10,36.95,0,0,908,1095,69,69,36,28.2,"High"
"14405",0,798.5,800,1,10,37.4,0,0,907,1095,69,69,36,28.2,"High"
"14406",0,800,800,1,10,37.05,0,0,910,1095,69,69,36,28.2,"High"
"14407",0,801,800,1,10,36.95,0,0,907,1095,69,69,36,28.2,"High"
"14408",0,802,800,1,10,36.7,0,0,909,1096,69,69,36,28.2,"High"
"14409",0,807,800,1.5,9,35.75,0,0,910,1095,69,69,36,28.2,"High"
"14410",0,765.5,800,1.5,18,50.7,0,0,945,1131,69,69,36,28,"High"
"14411",0,783,800,2.5,19,48.35,0,0,940,1132,69,69,36,28.2,"High"
"14412",0,801.5,800,1,8,35.5,0,0,1238,1420,69,69,36,28.2,"High"
"14413",0,797,800,1,9,36.45,0,0,1219,1403,69,69,36,28.2,"High"
"14414",0,798.5,800,1,9,36.6,0,0,1218,1403,69,69,36,28.2,"High"
"14415",0,801.5,800,1,9,36.1,0,0,1215,1401,69,69,36,28.2,"High"
"14416",0,799,800,0.5,9,36.6,0,0,1214,1400,69,69,36,28.2,"High"
"14417",0,799,800,1,9,36.35,0,0,1215,1403,69,69,36,28.2,"High"
"14418",0,799.5,800,1,9,36.35,0,0,1216,1401,69,69,36,28.2,"High"
"14419",0,798.5,800,1.5,8,36.45,0,0,1213,1399,69,69,36,28.2,"High"
"14420",0,798,800,1.5,9,36.45,0,0,1213,1399,69,69,36,28.2,"High"
"14421",0,798.5,800,1.5,8,36.45,0,0,1217,1401,69,69,36,28.2,"High"
"14422",0,799,800,1.5,9,36.2,0,0,1214,1401,69,69,36,28.2,"High"
"14423",0,799.5,800,1.5,9,36.1,0,0,1213,1400,69,69,36,28.2,"High"
"14424",0,798.5,800,1,9,36.2,0,0,1213,1397,69,69,37,28.2,"High"
"14425",0,800,800,1,8,36.1,0,0,1214,1399,69,69,36,28.1,"High"
"14426",0,798,800,0.5,8,36.1,0,0,1046,1230,69,69,36,28.1,"High"
"14427",0,798.5,800,1,8,36,0,0,1045,1225,69,69,36,28.2,"High"
"14428",0,799,800,1,9,36.2,0,0,1042,1226,69,69,37,28.2,"High"
"14429",0,798.5,800,1,8,36.2,0,0,1042,1224,69,69,36,28.2,"High"
"14430",0,799,800,1,8,36.2,0,0,1040,1224,69,69,36,28.2,"High"
"14431",0,800,800,1.5,8,35.85,0,0,1045,1224,69,69,36,28.2,"High"
"14432",0,799,800,1,8,36.2,0,0,1040,1224,69,69,36,28.2,"High"
"14433",0,798.5,800,1.5,8,36.2,0,0,1040,1220,69,69,36,28.2,"High"
"14434",0,798.5,800,1.5,8,36.2,0,0,1041,1222,69,69,36,28.2,"High"
"14435",0,798.5,800,1.5,9,36.45,0,0,1043,1225,69,69,36,28.2,"High"
"14436",0,798.5,800,1.5,9,36.45,0,0,1040,1221,69,69,36,28.2,"High"
"14437",0,798.5,800,1,9,36.45,0,0,1040,1223,69,69,36,28.2,"High"
"14438",0,801.5,800,1,8,35.75,0,0,1042,1222,69,69,36,28.2,"High"
"14439",0,799.5,800,0.5,9,35.75,0,0,1040,1222,69,69,36,28.2,"High"
"14440",0,799,800,1,9,36.2,0,0,1040,1224,69,69,36,28.2,"High"
"14441",0,795.5,800,1,9,36.95,0,0,1039,1223,69,69,36,28.2,"High"
"14442",0,798.5,800,1,9,36.7,0,0,1040,1222,69,69,36,28.2,"High"
"14443",0,798.5,800,1,9,36.6,0,0,1040,1224,69,69,36,28.2,"High"
"14444",0,798.5,800,0.5,9,36.6,0,0,1043,1221,69,69,36,28.2,"High"
"14445",0,798.5,800,1,9,37.05,0,0,1040,1224,69,69,36,28.1,"High"
"14446",0,799,800,1,9,36.7,0,0,1041,1225,69,69,36,28.2,"High"
"14447",0,800,800,1,9,36.45,0,0,1041,1224,69,69,36,28.2,"High"
"14448",0,799,800,1,9,36.7,0,0,1040,1224,69,69,36,28.2,"High"
"14449",0,799,800,1,9,36.8,0,0,1040,1222,69,69,36,28.2,"High"
"14450",85.6,1149.5,2108.5,5,59,39.45,0,0,89,120,69,69,36,28.2,"High"
"14451",99.6,2005,2120,59.5,87,24.1,2.5,274,14,15,69,69,36,28.2,"High"
"14452",46,1875,1278.5,90.5,51,0,3.5,242,2075,2305,69,69,36,28.2,"High"
"14453",27.2,1530,1007.5,34,59,0,0,78,1751,1996,69,69,37,28.2,"High"
"14454",84.8,1875,2075.5,53.5,87,25.05,0.5,122,111,137,69,69,36,28.2,"High"
"14455",99.6,2131,2120,119.5,84,18.55,4,388,55,43,69,69,37,28.2,"High"
"14456",99.2,2012,2120,72,51,23.65,4.5,482,55,65,69,69,36,28.1,"High"
"14457",99.2,2056,2120,108,62,22.9,8,814,34,41,69,69,37,28.1,"High"
"14458",85.6,1755.5,2078,132,100,27.65,10,1015,35,38,69,69,36,28.2,"High"
"14459",68.8,1739.5,1789,20.5,0,0.25,10,981,36,42,70,70,36,28.2,"High"
"14460",53.6,1574,1493,21.5,32,14.15,9,905,39,41,70,70,30,28.2,"High"
"14461",78,1726.5,1960.5,71,90,28.15,10,995,33,38,70,70,30,28.1,"High"
"14462",51.6,1632,1465.5,19,0,0,10,980,40,44,70,70,36,28.2,"High"
"14463",69.2,1578,1781.5,38,78,29.1,9,907,39,43,70,70,41,28.1,"High"
"14464",78.4,1736.5,1968.5,88,100,28.05,10,1015,39,44,70,70,43,28.2,"High"
"14465",86.8,1906,2120,134,100,25.3,11,1097,24,30,70,70,40,28.1,"High"
"14466",87.6,1980,2120,140.5,100,24.45,11.5,1141,35,43,70,70,38,28.2,"High"
"14467",89.6,2148,2120,131,98,20.65,12,1211,34,42,70,70,36,28.1,"High"
"14468",99.2,1823.5,2120,140.5,100,26.6,12.5,1251,29,35,70,70,37,28.1,"High"
"14469",99.2,1826.5,2120,143.5,100,26.6,12.5,1255,34,41,70,70,36,28.2,"High"
"14470",87.6,1817,2120,142.5,100,26.7,13,1281,38,41,70,70,36,28.1,"High"
"14471",97.6,1765,2120,95.5,100,27.55,12.5,1238,31,37,70,70,36,28.2,"High"
"14472",96,1824.5,2120,141,100,26.6,13,1271,23,32,70,70,36,28.2,"High"
"14473",99.2,1837,2120,144.5,100,26.5,13,1294,35,42,70,70,36,28.1,"High"
"14474",99.6,1839,2120,145,100,26.35,13.5,1315,35,43,70,70,36,28.2,"High"
"14475",99.6,1866.5,2120,145,100,25.9,14,1345,36,39,70,70,36,28.2,"High"
"14476",93.6,1399,2120,140.5,100,35.15,14,1402,42,46,70,70,35,28.1,"High"
"14477",99.2,1432.5,2120,127,100,34.3,14.5,1434,39,46,70,70,36,28.1,"High"
"14478",99.2,1442.5,2120,125.5,100,33.95,15,1462,41,45,70,70,36,28.2,"High"
"14479",99.2,1465.5,2120,126,100,33.5,15,1495,40,46,70,70,36,28.2,"High"
"14480",99.6,1498,2120,129.5,100,32.65,15.5,1512,43,61,70,70,36,28.1,"High"
"14481",99.2,1528,2120,132.5,100,31.95,15.5,1541,42,44,70,70,36,28.2,"High"
"14482",21.2,1271,890.5,36.5,0,0,13,1280,203,277,70,70,36,28.2,"High"
"14483",15.2,684.5,800,7,11,51.65,8.5,739,2758,2964,70,70,36,26.8,"High"
"14484",70.8,1149.5,1849.5,6,55,39.55,0,77,114,145,70,70,33,27.9,"High"
"14485",99.2,1631.5,2120,35,81,28.4,2,228,125,143,70,70,32,28.2,"High"
"14486",99.6,2000.5,2120,102,56,24.1,3.5,368,55,61,70,70,35,28,"High"
"14487",40,1227.5,1248,22,0,8.9,4,386,74,259,70,70,36,28.2,"High"
"14488",65.6,909,1748,11,56,56.9,0.5,0,1623,1828,70,70,36,28.2,"High"
"14489",89.2,1869.5,2120,95.5,100,26,3.5,336,108,135,70,70,38,28.2,"High"
"14490",89.2,2109.5,2120,122,95,21.6,3.5,379,144,87,70,70,39,28.2,"High"
"14491",16,940,800,22,0,0,0.5,0,1169,1347,70,70,35,28.2,"High"
"14492",90,2108,2120,86.5,97,21.25,3,357,99,68,70,70,35,28.1,"High"
"14493",40,1218.5,1250.5,22,0,5.1,4,381,57,75,70,70,35,28.2,"High"
"14494",59.2,1591.5,1599.5,51.5,75,28.15,3,310,59,76,70,70,35,28.2,"High"
"14495",50.4,1502,1400,66,75,29.45,3.5,321,64,74,71,71,35,28.1,"High"
"14496",66.8,1489,1741.5,56.5,86,32.2,3,292,54,67,71,71,36,28.1,"High"
"14497",58.4,1532,1591,79.5,75,30.65,4,399,54,69,71,71,36,28.2,"High"
"14498",59.2,1663,1600.5,71.5,53,23.3,4.5,429,53,67,71,71,35,28.2,"High"
"14499",65.2,1698,1710.5,73.5,73,26.35,4.5,445,50,66,71,71,35,28.2,"High"
"14500",68.8,1809.5,1784,44,33,15.45,3,266,1354,1583,71,71,35,28.2,"High"
"14501",30,931,1066.5,8.5,47,50.6,0,0,133,305,75,75,36,28.2,"High"
"14502",0.4,913,800,15,0,0,1,0,1956,2157,76,76,36,28.2,"High"
"14503",0,745,800,6,10,50.6,0,0,1363,1556,76,76,36,26.9,"High"
"14504",56.4,1174,1551.5,20.5,64,39.55,0.5,38,126,291,76,76,36,28.1,"High"
"14505",41.2,1316.5,1269,20,17,13.3,1,66,1079,1278,76,76,36,28.2,"High"
"14506",43.2,1285,1306.5,11,26,20.65,0,0,1096,1293,76,76,36,28.1,"High"
"14507",74,1733,1888.5,21.5,50,24.8,0,0,506,701,76,76,36,28.2,"High"
"14508",59.2,1727.5,1611,91.5,77,25.55,2,112,2319,2521,76,76,36,28.1,"High"
"14509",78,1918,1976.5,91.5,63,23.3,0,0,1948,2150,76,76,35,28.2,"High"
"14510",64,1315.5,1702.5,66.5,2,31.7,0,131,97,135,76,76,36,28.2,"High"
"14511",65.6,1541.5,1708.5,69.5,93,29.55,1.5,127,106,140,76,76,36,28.1,"High"
"14512",76,2066,1891,131.5,90,8.2,0,0,1400,1581,76,76,36,28.1,"High"
"14513",22.4,855,923.5,33,0,29.95,0,0,986,1189,76,76,36,28.2,"High"
"14514",44,1236.5,1322,24.5,54,36.6,1.5,153,362,556,76,76,36,28.2,"High"
"14515",33.6,1115.5,1114.5,23.5,41,37.65,1.5,165,371,565,76,76,36,28.1,"High"
"14516",54,1272,1512.5,24.5,67,36.2,1.5,187,325,523,76,76,36,28.2,"High"
"14517",52.4,1367.5,1489.5,34.5,61,32.9,2,212,377,570,76,76,36,28.1,"High"
"14518",31.2,1074,1098,22.5,0,17.2,2,175,101,150,76,76,36,28.2,"High"
"14519",81.2,1425,2026,27.5,54,32.4,2,232,27,205,76,76,36,28.2,"High"
"14520",51.6,1093,1462,20,54,43.25,1,12,1903,2098,76,76,36,28.2,"High"
"14521",99.2,1653,2120,57,80,29.35,2,227,114,140,76,76,35,28.2,"High"
"14522",52.8,1710.5,1469,119.5,86,20.65,4.5,439,47,63,76,76,35,28.1,"High"
"14523",63.2,1508,1675,38.5,59,27.8,4,390,56,75,76,76,35,28.2,"High"
"14524",38.8,1184.5,1227.5,14,20,21.6,3,266,53,69,76,76,36,28.2,"High"
"14525",46,1260,1358.5,17,40,34.3,2.5,240,53,69,76,76,36,28.2,"High"
"14526",46.4,1363,1363.5,34,51,30.4,3,276,53,70,76,76,37,28.2,"High"
"14527",52,1449.5,1469,41.5,58,29.8,3,310,51,70,76,76,36,28.2,"High"
"14528",52,1505.5,1470,60.5,61,27.8,3.5,329,51,67,76,76,36,28.2,"High"
"14529",52.8,1519.5,1481,75.5,71,29.45,4,395,51,68,76,76,36,28.2,"High"
"14530",51.2,1464.5,1451,38.5,42,24.1,4,377,51,65,76,76,36,28.2,"High"
"14531",64,1666.5,1681.5,59.5,76,26.85,4.5,393,328,396,76,76,36,28.2,"High"
"14532",67.2,1578.5,1785.5,30,53,27.45,0,0,1066,1266,76,76,36,28.2,"High"
"14533",80,1945.5,1997.5,60.5,79,23.3,0,0,665,861,76,76,36,28.2,"High"
"14534",86,1876,2097,148,100,25.9,3.5,346,108,139,76,76,36,28.1,"High"
"14535",46.4,1393,1370,60.5,0,4.85,3,264,1505,1719,76,76,36,28.2,"High"
"14536",38,928.5,1223,11,59,53.8,0.5,86,292,535,76,76,36,28.2,"High"
"14537",36,1339,1150.5,19.5,10,4.75,0.5,0,1679,1880,76,76,36,28.2,"High"
