"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"7101",86.8,1706,2089.5,157.5,100,28.5,1.5,255,46,33,81,81,45,28.2,"Normal"
"7102",98.4,1620,2120,160,100,30.05,1,87,37,31,81,81,45,28.2,"Normal"
"7103",99.6,1643,2120,159,100,29.55,0.5,67,27,24,81,81,44,28.2,"Normal"
"7104",33.2,1213,1117.5,72,33,28.25,0,89,726,661,81,81,46,28.2,"Normal"
"7105",28.8,1030.5,1040.5,10,19,23.15,0,0,2409,2578,81,81,47,28.2,"Normal"
"7106",28.8,1040,1041,8.5,19,22.45,0,0,2358,2533,81,81,47,28.2,"Normal"
"7107",28.8,1042,1040.5,6.5,17,21.85,0,0,2240,2413,81,81,47,28.2,"Normal"
"7108",28.8,1042,1041,7,17,21.6,0,0,2223,2394,81,81,47,28.2,"Normal"
"7109",28.8,1039,1041,6.5,17,21.85,0,0,2211,2384,81,81,47,28.2,"Normal"
"7110",33.6,1053,1159.5,6,17,31.7,0,0,1545,1707,81,81,47,28.2,"Normal"
"7111",95.2,1429.5,2120,33.5,74,32.55,0.5,42,110,113,81,81,47,28.2,"Normal"
"7112",99.6,1559,2120,77.5,93,31.6,0.5,93,91,36,81,81,47,28.2,"Normal"
"7113",99.6,1603,2120,146,100,30.4,0.5,92,40,28,81,81,47,28.2,"Normal"
"7114",99.6,1715,2120,152.5,100,28.4,0.5,0,32,31,81,81,47,28.2,"Normal"
"7115",99.6,1594.5,2120,156.5,100,30.5,0.5,97,32,31,81,81,47,28.2,"Normal"
"7116",99.6,1715.5,2120,156.5,100,28.25,1,66,37,26,81,81,47,28.2,"Normal"
"7117",99.6,1713.5,2120,158.5,100,28.5,0,0,33,22,81,81,47,28.2,"Normal"
"7118",99.6,1622,2120,156.5,100,30.3,0.5,72,18,14,81,81,47,28.1,"Normal"
"7119",99.6,1655,2120,156.5,100,29.35,0.5,0,15,3,81,81,47,28.2,"Normal"
"7120",99.6,1667,2120,153.5,100,29.2,1,73,37,26,81,81,47,28.2,"Normal"
"7121",99.6,1462.5,1882,148,100,33.5,0,56,22,17,81,81,49,28.2,"Normal"
"7122",98.8,1429,2021,137,100,34.45,0,0,18,14,81,81,49,28.2,"Normal"
